,Sum,run
four_roll_v4.3.1_10yrs_GRBAfterglowDetectMetric,169.0,four_roll_v4.3.1_10yrs
four_roll_v4.3.1_10yrs_GRBAfterglowBetterDetectMetric,174.0,four_roll_v4.3.1_10yrs
four_roll_v4.3.1_10yrs_GRBAfterglowCharacterizeMetric,126.0,four_roll_v4.3.1_10yrs
four_roll_v4.3.1_10yrs_GRBAfterglowSpecTriggerableMetric,4.0,four_roll_v4.3.1_10yrs
four_roll_v4.3.1_10yrs_GRBAfterglowColorEvolveMetric,105.0,four_roll_v4.3.1_10yrs
four_roll_v4.3.1_10yrs_GRBAfterglowHistoricalMatchMetric,217.0,four_roll_v4.3.1_10yrs
baseline_v4.3.1_10yrs_GRBAfterglowDetectMetric,170.0,baseline_v4.3.1_10yrs
baseline_v4.3.1_10yrs_GRBAfterglowBetterDetectMetric,174.0,baseline_v4.3.1_10yrs
baseline_v4.3.1_10yrs_GRBAfterglowCharacterizeMetric,122.0,baseline_v4.3.1_10yrs
baseline_v4.3.1_10yrs_GRBAfterglowSpecTriggerableMetric,4.0,baseline_v4.3.1_10yrs
baseline_v4.3.1_10yrs_GRBAfterglowColorEvolveMetric,103.0,baseline_v4.3.1_10yrs
baseline_v4.3.1_10yrs_GRBAfterglowHistoricalMatchMetric,221.0,baseline_v4.3.1_10yrs
