sid,n_filters_detected
0,nan
1,0.0
2,1.0
3,0.0
4,0.0
5,0.0
6,nan
7,0.0
8,nan
9,nan
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,nan
18,0.0
19,0.0
20,0.0
21,0.0
22,nan
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,1.0
31,nan
32,nan
33,0.0
34,0.0
35,nan
36,0.0
37,0.0
38,nan
39,1.0
40,nan
41,0.0
42,0.0
43,0.0
44,nan
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,nan
52,0.0
53,0.0
54,0.0
55,nan
56,0.0
57,nan
58,0.0
59,0.0
60,0.0
61,0.0
62,nan
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,nan
69,0.0
70,0.0
71,nan
72,0.0
73,nan
74,0.0
75,0.0
76,nan
77,nan
78,0.0
79,1.0
80,0.0
81,0.0
82,nan
83,0.0
84,0.0
85,0.0
86,nan
87,nan
88,1.0
89,0.0
90,0.0
91,0.0
92,0.0
93,nan
94,0.0
95,nan
96,nan
97,0.0
98,0.0
99,nan
100,1.0
101,nan
102,0.0
103,nan
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,nan
111,0.0
112,1.0
113,0.0
114,0.0
115,0.0
116,nan
117,nan
118,nan
119,nan
120,nan
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,nan
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,nan
133,0.0
134,0.0
135,nan
136,0.0
137,nan
138,0.0
139,0.0
140,0.0
141,nan
142,nan
143,nan
144,0.0
145,0.0
146,nan
147,nan
148,0.0
149,nan
150,0.0
151,nan
152,0.0
153,nan
154,nan
155,0.0
156,nan
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,nan
168,nan
169,nan
170,nan
171,nan
172,0.0
173,0.0
174,0.0
175,0.0
176,1.0
177,nan
178,0.0
179,0.0
180,0.0
181,nan
182,0.0
183,0.0
184,0.0
185,0.0
186,nan
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,nan
194,0.0
195,nan
196,0.0
197,nan
198,nan
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,nan
206,0.0
207,0.0
208,nan
209,0.0
210,nan
211,0.0
212,0.0
213,0.0
214,0.0
215,nan
216,nan
217,nan
218,0.0
219,0.0
220,nan
221,0.0
222,0.0
223,nan
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,nan
230,0.0
231,0.0
232,nan
233,0.0
234,1.0
235,0.0
236,0.0
237,0.0
238,nan
239,0.0
240,nan
241,0.0
242,nan
243,0.0
244,0.0
245,nan
246,0.0
247,0.0
248,0.0
249,nan
250,nan
251,0.0
252,nan
253,nan
254,0.0
255,nan
256,0.0
257,nan
258,nan
259,0.0
260,0.0
261,nan
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,nan
272,nan
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,nan
279,nan
280,nan
281,0.0
282,1.0
283,0.0
284,0.0
285,0.0
286,nan
287,1.0
288,0.0
289,0.0
290,0.0
291,nan
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,nan
300,0.0
301,0.0
302,nan
303,0.0
304,0.0
305,nan
306,0.0
307,0.0
308,0.0
309,nan
310,0.0
311,0.0
312,nan
313,nan
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,nan
322,0.0
323,0.0
324,1.0
325,nan
326,nan
327,nan
328,nan
329,0.0
330,0.0
331,0.0
332,nan
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,nan
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,nan
346,0.0
347,0.0
348,nan
349,nan
350,0.0
351,nan
352,nan
353,0.0
354,0.0
355,0.0
356,nan
357,0.0
358,nan
359,0.0
360,0.0
361,0.0
362,nan
363,0.0
364,nan
365,0.0
366,0.0
367,0.0
368,nan
369,0.0
370,nan
371,0.0
372,0.0
373,0.0
374,0.0
375,nan
376,0.0
377,0.0
378,0.0
379,nan
380,nan
381,0.0
382,0.0
383,nan
384,nan
385,nan
386,nan
387,0.0
388,0.0
389,nan
390,1.0
391,nan
392,nan
393,0.0
394,0.0
395,0.0
396,nan
397,nan
398,0.0
399,0.0
400,1.0
401,0.0
402,nan
403,0.0
404,1.0
405,0.0
406,0.0
407,nan
408,0.0
409,nan
410,nan
411,nan
412,0.0
413,nan
414,nan
415,0.0
416,0.0
417,nan
418,nan
419,1.0
420,0.0
421,0.0
422,0.0
423,1.0
424,0.0
425,nan
426,0.0
427,0.0
428,nan
429,0.0
430,nan
431,0.0
432,0.0
433,nan
434,0.0
435,nan
436,0.0
437,0.0
438,nan
439,0.0
440,0.0
441,0.0
442,nan
443,0.0
444,0.0
445,0.0
446,nan
447,0.0
448,0.0
449,nan
450,0.0
451,0.0
452,0.0
453,nan
454,0.0
455,0.0
456,nan
457,0.0
458,0.0
459,nan
460,0.0
461,nan
462,0.0
463,nan
464,nan
465,0.0
466,nan
467,0.0
468,nan
469,0.0
470,0.0
471,1.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,nan
478,0.0
479,nan
480,nan
481,0.0
482,nan
483,0.0
484,0.0
485,0.0
486,nan
487,0.0
488,0.0
489,0.0
490,0.0
491,1.0
492,0.0
493,0.0
494,0.0
495,0.0
496,nan
497,0.0
498,0.0
499,0.0
500,nan
501,0.0
502,0.0
503,0.0
504,0.0
505,1.0
506,0.0
507,nan
508,nan
509,nan
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,nan
516,0.0
517,nan
518,0.0
519,0.0
520,0.0
521,nan
522,nan
523,0.0
524,nan
525,0.0
526,0.0
527,nan
528,0.0
529,0.0
530,0.0
531,nan
532,nan
533,0.0
534,0.0
535,nan
536,0.0
537,nan
538,0.0
539,nan
540,0.0
541,nan
542,nan
543,nan
544,0.0
545,nan
546,nan
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,nan
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,nan
562,0.0
563,nan
564,0.0
565,nan
566,0.0
567,nan
568,0.0
569,0.0
570,0.0
571,0.0
572,nan
573,nan
574,nan
575,0.0
576,0.0
577,0.0
578,0.0
579,nan
580,nan
581,0.0
582,nan
583,nan
584,0.0
585,0.0
586,0.0
587,nan
588,0.0
589,0.0
590,0.0
591,0.0
592,nan
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,1.0
601,1.0
602,0.0
603,nan
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,1.0
613,0.0
614,0.0
615,0.0
616,nan
617,nan
618,nan
619,nan
620,0.0
621,0.0
622,nan
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,nan
630,0.0
631,0.0
632,0.0
633,0.0
634,nan
635,0.0
636,nan
637,nan
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,nan
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,nan
653,0.0
654,0.0
655,0.0
656,0.0
657,1.0
658,nan
659,nan
660,nan
661,0.0
662,nan
663,nan
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,nan
670,0.0
671,0.0
672,0.0
673,nan
674,0.0
675,0.0
676,0.0
677,nan
678,0.0
679,0.0
680,0.0
681,nan
682,0.0
683,0.0
684,nan
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,nan
695,0.0
696,0.0
697,0.0
698,nan
699,nan
700,0.0
701,0.0
702,nan
703,nan
704,nan
705,0.0
706,nan
707,0.0
708,0.0
709,0.0
710,0.0
711,0.0
712,0.0
713,0.0
714,0.0
715,0.0
716,0.0
717,0.0
718,nan
719,0.0
720,nan
721,0.0
722,0.0
723,nan
724,0.0
725,nan
726,0.0
727,nan
728,0.0
729,0.0
730,0.0
731,nan
732,0.0
733,0.0
734,nan
735,0.0
736,0.0
737,nan
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,nan
744,0.0
745,0.0
746,0.0
747,nan
748,nan
749,nan
750,0.0
751,nan
752,nan
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,nan
759,0.0
760,nan
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,nan
769,0.0
770,0.0
771,0.0
772,nan
773,0.0
774,0.0
775,0.0
776,nan
777,nan
778,nan
779,1.0
780,0.0
781,0.0
782,nan
783,nan
784,0.0
785,0.0
786,nan
787,0.0
788,0.0
789,nan
790,nan
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,0.0
800,nan
801,nan
802,0.0
803,0.0
804,0.0
805,0.0
806,0.0
807,nan
808,0.0
809,0.0
810,nan
811,0.0
812,0.0
813,nan
814,0.0
815,0.0
816,nan
817,nan
818,0.0
819,0.0
820,nan
821,0.0
822,nan
823,0.0
824,0.0
825,nan
826,0.0
827,0.0
828,0.0
829,nan
830,nan
831,nan
832,0.0
833,nan
834,0.0
835,0.0
836,0.0
837,nan
838,nan
839,0.0
840,nan
841,0.0
842,0.0
843,nan
844,nan
845,nan
846,nan
847,nan
848,0.0
849,0.0
850,0.0
851,0.0
852,0.0
853,0.0
854,nan
855,0.0
856,nan
857,nan
858,0.0
859,0.0
860,0.0
861,0.0
862,nan
863,0.0
864,0.0
865,1.0
866,0.0
867,0.0
868,0.0
869,nan
870,0.0
871,nan
872,nan
873,nan
874,0.0
875,0.0
876,0.0
877,0.0
878,0.0
879,0.0
880,nan
881,0.0
882,0.0
883,nan
884,0.0
885,0.0
886,nan
887,nan
888,nan
889,nan
890,nan
891,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0
897,nan
898,nan
899,0.0
900,nan
901,nan
902,nan
903,0.0
904,0.0
905,0.0
906,0.0
907,nan
908,0.0
909,nan
910,0.0
911,nan
912,0.0
